à-côté,True 
abandon,True 
abat-jour,True 
abattoir,True 
abbaye,False 
abcès,True 
abdomen,True 
abeille,False 
abime,True 
abondance,False 
abonnement,True 
abreuvoir,True 
abricot,True 
absence,False 
abstinence,False 
accélérateur,True 
acceuil,True 
accident,True 
accomplissment,True 
accord,True 
accusation,False 
achat,True 
acheteur,True 
acier,True 
acné,False
acquisition,False 
acteur,True 
action,False
activité,False 
actrice,False 
actualité,False 
addition,False 
adresse,False 
aéroport,True 
affaire,False 
affection,False 
affiche,False 
affirmation,False 
affluence,False 
âge,True 
agenda,True 
agent,True 
agrafeuse,False 
agression,False 
aide,False 
aigle,True 
aile,False 
aimant,True 
air,True 
aire,False 
ajout,True 
alarme,False 
aliment,True 
aller,True 
alumette,True 
âme,False 
amende,False 
amour,True 
an,True
ange,True 
animal,True 
année,False 
anniversaire,True 
appartement,True 
appel,True 
arbre,True 
argent,True 
arme,False 
armée,False 
art,True 
artère,False 
assiette,False 
assistance,False 
association,False 
assurance,False 
asthme,True 
attachement,True 
auto,False 
autobus,False 
avance,False 
avenir,True 
avion,True 
avis,True 
avocat,True 
baccalauréat,True 
bactérie,False 
baguette,False 
baie,False 
bail,True 
bain,True 
bal,True 
balance,False 
balcon,True 
balle,False 
banc,True 
bande,False 
banque,False
bar,True 
baril,True 
base,False 
basilic,True 
bateau,True
bâtisse,False
bâton,True 
beauté,False 
bébé,True 
berline,False 
besoin,True 
beurre,True 
bicyclette,False 
bien,True 
bière,False
bikini,True 
billet,True 
bise,False 
bisou,True 
blague,False 
bois,True 
boisson,False 
boite,False 
bombe,False 
bonbon,True 
bonheur,True 
bonjour,True 
bonsoir,True 
bord,True 
bordel,True 
bouche,False 
bouffe,False 
bougie,False 
boulot,True 
bourse,False 
bout,True 
bras,True 
brasserie,False 
breuvage,True 
brochure,False 
bruit,True 
brulure,False 
buanderie,False 
buffet,True 
bureau,True 
bus,True 
but,True 
cabane,False 
cabinet,True 
cadeau,True 
cadenas,True 
cadre,True 
cafe,True 
cafétéria,False 
cahier,True 
caillou,True 
caisse,False 
calcul,True 
calorie,False 
camarade,True 
camp,True 
caniche,True 
cannelle,False 
capacité,False 
capitaine,True 
caravane,False 
cari,True 
carrefour,True 
carrière,False
carte,False 
carton,True 
cas,True 
casque,True 
casquette,False 
cauchemar,True 
cause,False 
celeri,True 
cellier,True 
cendre,False 
centaine,False 
centimètre,True 
centre,True 
centre-ville,True 
cercueil,True 
céréale,False 
cèrèmonie,False 
cerise,False 
cerne,True 
certitude,False 
cession,False 
chair,False 
chaleur,False 
chambre,False 
championne,False 
chance,False 
chandail,True 
chanson,False 
chanvre,False 
chapitre,True 
charbon,True 
charcuterie,False 
charge,False 
charisme,True 
chasse,False 
chat,True
chatte,False 
chaussure,False 
chef,True 
chemin,True 
chèque,True 
cheval,True 
cheveu,True 
cheville,False 
chien,True 
chiffre,True 
chimie,False 
chiot,True 
choix,True 
chronique,False 
cicatrice,False 
ciel,True 
cigare,True 
cigarette,False 
ciment,True 
cinéma,True
circuit,True 
circulaire,False 
cirque,True 
citation,False 
claque,False 
classe,False 
classique,True 
clé,False 
client,True 
climat,True 
clochard,False 
cloche,False 
club,True 
cocaine,False 
cochon,True 
cochonnerie,False 
cocktail,True 
code,True 
coeur,True 
coffre,True 
cohorte,False 
coin,True 
col,True 
colère,False 
collaboration,False 
colle,False 
collection,False 
collier,True 
colline,False 
collision,False 
colonel,True 
colonie,False 
colonne,False 
coma,True 
combat,True 
commande,False 
commentaire,True 
commerce,True 
commission,False 
commode,False 
commotion,False 
communauté,False 
communication,False 
communisme,True 
compagnie,False 
comparaison,False 
compétence,False 
complication,False 
compresse,False 
compte,True 
compteur,True 
concentration,False 
concept,True 
concert,True 
conclusion,False 
concombre,True 
concours,True 
conduite,False 
confiance,False 
confiserie,False 
confiture,False 
conflit,True 
confort,True 
confusion,False 
congestion,False 
conjugaison,False 
connerie,False 
conseil,True 
consonne,False 
constat,True 
contact,True 
conte,True 
contexte,True 
contrebande,False 
contrôle,True 
convenance,False 
copain,True 
copie,False 
corbeille,False 
corde,False 
corps,True 
correction,False 
costume,True 
cote,True 
cou,True 
couleur,False 
coup,True
coupe,False 
couple,True 
cour,False 
courage,True 
courant,True 
courge,False 
courriel,True 
cours,True 
course,False 
cousin,True 
coussin,True 
couteau,True 
couvercle,True 
craie,False 
crainte,False 
cravate,False 
crêpe,False 
cri,True 
crime,True 
crise,False 
croissant,True 
cueillette,False 
cuir,True 
cuisine,False 
cuisse,False 
cuisson,False 
cuivre,True 
cul,True 
cul,True 
culotte,False 
culte,True 
cycle,True 
dame,False 
danger,True 
danse,False 
date,False 
datte,False 
début,True 
décision,False 
décollage,True 
décor,True 
définition,False 
déjeuner,True 
délice,True 
demande,False 
demi,True 
demie,False 
dent,False 
départ,True 
dépendance,False 
dermatologie,False 
désastre,True 
descente,False 
désert,True 
désir,True 
dessin,True 
dessus,True 
destin,True 
déstruction,False 
devant,True 
diable,True 
dialecte,True 
diamant,True 
diction,False 
dieu,True 
différence,False 
diffusion,False 
dimanche,False 
dimension,False 
diplôme,True 
directeur,True 
direction,False 
directive,False 
discipline,False 
discours,True 
discrimination,False 
dictionnaire,True 
disparition,False 
distraction,False 
docteur,True 
document,True 
doigt,True 
dollar,True 
dommage,True 
dos,True 
dosage,True 
dossier,True 
douceur,False 
douche,False 
douleur,False 
doute,True 
droit,True 
duel,True 
eau,False 
échelle,False 
école,False 
effet,True 
église,False 
embauchage,True 
encadrement,True 
endroit,True 
enfant,True 
enfer,True 
ennemi,True 
ennui,True 
enseignement,True 
entrée,False
entreprise,False 
envers,True 
envie,False 
épice,False 
époque,False 
époux,True 
